series_id,incident_id,offense_id,true_offender_person_id
SERIES0055,INC000197,OFF000198,P00350
SERIES0055,INC000198,OFF000199,P00350
SERIES0056,INC000199,OFF000200,P00053
SERIES0056,INC000200,OFF000201,P00053
SERIES0056,INC000201,OFF000202,P00053
SERIES0056,INC000202,OFF000203,P00053
SERIES0056,INC000203,OFF000204,P00053
SERIES0057,INC000204,OFF000205,P00018
SERIES0057,INC000205,OFF000206,P00018
SERIES0058,INC000206,OFF000207,P00409
SERIES0058,INC000207,OFF000208,P00409
SERIES0058,INC000208,OFF000209,P00409
SERIES0058,INC000209,OFF000210,P00409
SERIES0059,INC000210,OFF000211,P00110
SERIES0059,INC000211,OFF000212,P00110
SERIES0059,INC000212,OFF000213,P00110
SERIES0059,INC000213,OFF000214,P00110
SERIES0059,INC000214,OFF000215,P00110
SERIES0060,INC000215,OFF000216,P00708
SERIES0060,INC000216,OFF000217,P00708
SERIES0061,INC000217,OFF000218,P00159
SERIES0061,INC000218,OFF000219,P00159
SERIES0061,INC000219,OFF000220,P00159
SERIES0062,INC000220,OFF000221,P00598
SERIES0062,INC000221,OFF000222,P00598
SERIES0062,INC000222,OFF000223,P00598
SERIES0063,INC000223,OFF000224,P00012
SERIES0063,INC000224,OFF000225,P00012
SERIES0063,INC000225,OFF000226,P00012
SERIES0063,INC000226,OFF000227,P00012
SERIES0064,INC000227,OFF000228,P00213
SERIES0064,INC000228,OFF000229,P00213
SERIES0064,INC000229,OFF000230,P00213
SERIES0064,INC000230,OFF000231,P00213
SERIES0064,INC000231,OFF000232,P00213
SERIES0065,INC000232,OFF000233,P00675
SERIES0065,INC000233,OFF000234,P00675
SERIES0065,INC000234,OFF000235,P00675
SERIES0065,INC000235,OFF000236,P00675
SERIES0065,INC000236,OFF000237,P00675
SERIES0066,INC000237,OFF000238,P00293
SERIES0066,INC000238,OFF000239,P00293
SERIES0066,INC000239,OFF000240,P00293
SERIES0066,INC000240,OFF000241,P00293
SERIES0066,INC000241,OFF000242,P00293
SERIES0067,INC000242,OFF000243,P00028
SERIES0067,INC000243,OFF000244,P00028
SERIES0067,INC000244,OFF000245,P00028
SERIES0068,INC000245,OFF000246,P00024
SERIES0068,INC000246,OFF000247,P00024
SERIES0069,INC000247,OFF000248,P00776
SERIES0069,INC000248,OFF000249,P00776
SERIES0069,INC000249,OFF000250,P00776
SERIES0069,INC000250,OFF000251,P00776
SERIES0070,INC000251,OFF000252,P00666
SERIES0070,INC000252,OFF000253,P00666
SERIES0070,INC000253,OFF000254,P00666
SERIES0071,INC000254,OFF000255,P00445
SERIES0071,INC000255,OFF000256,P00445
SERIES0071,INC000256,OFF000257,P00445
SERIES0072,INC000257,OFF000258,P00298
SERIES0072,INC000258,OFF000259,P00298
SERIES0073,INC000259,OFF000260,P00555
SERIES0073,INC000260,OFF000261,P00555
SERIES0074,INC000261,OFF000262,P00013
SERIES0074,INC000262,OFF000263,P00013
SERIES0074,INC000263,OFF000264,P00013
SERIES0074,INC000264,OFF000265,P00013
SERIES0075,INC000265,OFF000266,P00642
SERIES0075,INC000266,OFF000267,P00642
SERIES0075,INC000267,OFF000268,P00642
SERIES0075,INC000268,OFF000269,P00642
SERIES0075,INC000269,OFF000270,P00642
SERIES0076,INC000270,OFF000271,P00154
SERIES0076,INC000271,OFF000272,P00154
SERIES0077,INC000272,OFF000273,P00066
SERIES0077,INC000273,OFF000274,P00066
SERIES0078,INC000274,OFF000275,P00017
SERIES0078,INC000275,OFF000276,P00017
SERIES0079,INC000276,OFF000277,P00786
SERIES0079,INC000277,OFF000278,P00786
SERIES0079,INC000278,OFF000279,P00786
SERIES0079,INC000279,OFF000280,P00786
SERIES0079,INC000280,OFF000281,P00786
SERIES0080,INC000281,OFF000282,P00223
SERIES0080,INC000282,OFF000283,P00223
SERIES0080,INC000283,OFF000284,P00223
SERIES0081,INC000284,OFF000285,P00706
SERIES0081,INC000285,OFF000286,P00706
SERIES0081,INC000286,OFF000287,P00706
SERIES0081,INC000287,OFF000288,P00706
SERIES0081,INC000288,OFF000289,P00706
SERIES0082,INC000289,OFF000290,P00299
SERIES0082,INC000290,OFF000291,P00299
SERIES0083,INC000291,OFF000292,P00109
SERIES0083,INC000292,OFF000293,P00109
SERIES0084,INC000293,OFF000294,P00693
SERIES0084,INC000294,OFF000295,P00693
SERIES0085,INC000295,OFF000296,P00659
SERIES0085,INC000296,OFF000297,P00659
SERIES0085,INC000297,OFF000298,P00659
SERIES0085,INC000298,OFF000299,P00659
SERIES0085,INC000299,OFF000300,P00659
SERIES0086,INC000300,OFF000301,P00203
SERIES0086,INC000301,OFF000302,P00203
SERIES0087,INC000302,OFF000303,P00391
SERIES0087,INC000303,OFF000304,P00391
SERIES0088,INC000304,OFF000305,P00572
SERIES0088,INC000305,OFF000306,P00572
SERIES0089,INC000306,OFF000307,P00186
SERIES0089,INC000307,OFF000308,P00186
SERIES0090,INC000308,OFF000309,P00694
SERIES0090,INC000309,OFF000310,P00694
SERIES0090,INC000310,OFF000311,P00694
SERIES0091,INC000311,OFF000312,P00400
SERIES0091,INC000312,OFF000313,P00400
SERIES0091,INC000313,OFF000314,P00400
SERIES0092,INC000314,OFF000315,P00742
SERIES0092,INC000315,OFF000316,P00742
SERIES0092,INC000316,OFF000317,P00742
SERIES0093,INC000317,OFF000318,P00192
SERIES0093,INC000318,OFF000319,P00192
SERIES0093,INC000319,OFF000320,P00192
SERIES0093,INC000320,OFF000321,P00192
SERIES0093,INC000321,OFF000322,P00192
SERIES0094,INC000322,OFF000323,P00492
SERIES0094,INC000323,OFF000324,P00492
SERIES0094,INC000324,OFF000325,P00492
SERIES0095,INC000325,OFF000326,P00118
SERIES0095,INC000326,OFF000327,P00118
SERIES0096,INC000327,OFF000328,P00787
SERIES0096,INC000328,OFF000329,P00787
SERIES0096,INC000329,OFF000330,P00787
SERIES0097,INC000330,OFF000331,P00218
SERIES0097,INC000331,OFF000332,P00218
SERIES0098,INC000332,OFF000333,P00794
SERIES0098,INC000333,OFF000334,P00794
SERIES0098,INC000334,OFF000335,P00794
SERIES0098,INC000335,OFF000336,P00794
SERIES0099,INC000336,OFF000337,P00709
SERIES0099,INC000337,OFF000338,P00709
SERIES0099,INC000338,OFF000339,P00709
SERIES0100,INC000339,OFF000340,P00548
SERIES0100,INC000340,OFF000341,P00548
SERIES0101,INC000341,OFF000342,P00451
SERIES0101,INC000342,OFF000343,P00451
SERIES0101,INC000343,OFF000344,P00451
SERIES0101,INC000344,OFF000345,P00451
SERIES0102,INC000345,OFF000346,P00711
SERIES0102,INC000346,OFF000347,P00711
SERIES0102,INC000347,OFF000348,P00711
SERIES0102,INC000348,OFF000349,P00711
SERIES0102,INC000349,OFF000350,P00711
SERIES0103,INC000350,OFF000351,P00774
SERIES0103,INC000351,OFF000352,P00774
SERIES0104,INC000352,OFF000353,P00612
SERIES0104,INC000353,OFF000354,P00612
SERIES0104,INC000354,OFF000355,P00612
SERIES0104,INC000355,OFF000356,P00612
SERIES0105,INC000356,OFF000357,P00667
SERIES0105,INC000357,OFF000358,P00667
SERIES0105,INC000358,OFF000359,P00667
SERIES0106,INC000359,OFF000360,P00770
SERIES0106,INC000360,OFF000361,P00770
SERIES0106,INC000361,OFF000362,P00770
SERIES0107,INC000362,OFF000363,P00731
SERIES0107,INC000363,OFF000364,P00731
SERIES0107,INC000364,OFF000365,P00731
SERIES0108,INC000365,OFF000366,P00348
SERIES0108,INC000366,OFF000367,P00348
SERIES0108,INC000367,OFF000368,P00348
SERIES0109,INC000368,OFF000369,P00619
SERIES0109,INC000369,OFF000370,P00619
SERIES0109,INC000370,OFF000371,P00619
SERIES0109,INC000371,OFF000372,P00619
SERIES0110,INC000372,OFF000373,P00264
SERIES0110,INC000373,OFF000374,P00264
SERIES0110,INC000374,OFF000375,P00264
SERIES0110,INC000375,OFF000376,P00264
SERIES0111,INC000376,OFF000377,P00137
SERIES0111,INC000377,OFF000378,P00137
SERIES0111,INC000378,OFF000379,P00137
SERIES0111,INC000379,OFF000380,P00137
SERIES0112,INC000380,OFF000381,P00360
SERIES0112,INC000381,OFF000382,P00360
SERIES0112,INC000382,OFF000383,P00360
SERIES0112,INC000383,OFF000384,P00360
SERIES0112,INC000384,OFF000385,P00360
SERIES0113,INC000385,OFF000386,P00434
SERIES0113,INC000386,OFF000387,P00434
SERIES0113,INC000387,OFF000388,P00434
SERIES0113,INC000388,OFF000389,P00434
SERIES0113,INC000389,OFF000390,P00434
SERIES0114,INC000390,OFF000391,P00765
SERIES0114,INC000391,OFF000392,P00765
SERIES0114,INC000392,OFF000393,P00765
SERIES0114,INC000393,OFF000394,P00765
SERIES0114,INC000394,OFF000395,P00765
SERIES0115,INC000395,OFF000396,P00489
SERIES0115,INC000396,OFF000397,P00489
SERIES0115,INC000397,OFF000398,P00489
SERIES0115,INC000398,OFF000399,P00489
SERIES0115,INC000399,OFF000400,P00489
SERIES0116,INC000400,OFF000401,P00669
SERIES0116,INC000401,OFF000402,P00669
SERIES0116,INC000402,OFF000403,P00669
SERIES0116,INC000403,OFF000404,P00669
SERIES0116,INC000404,OFF000405,P00669
SERIES0117,INC000405,OFF000406,P00161
SERIES0117,INC000406,OFF000407,P00161
SERIES0117,INC000407,OFF000408,P00161
SERIES0117,INC000408,OFF000409,P00161
SERIES0118,INC000409,OFF000410,P00108
SERIES0118,INC000410,OFF000411,P00108
SERIES0118,INC000411,OFF000412,P00108
SERIES0119,INC000412,OFF000413,P00202
SERIES0119,INC000413,OFF000414,P00202
SERIES0120,INC000414,OFF000415,P00008
SERIES0120,INC000415,OFF000416,P00008
SERIES0120,INC000416,OFF000417,P00008
SERIES0121,INC000417,OFF000418,P00256
SERIES0121,INC000418,OFF000419,P00256
SERIES0121,INC000419,OFF000420,P00256
SERIES0122,INC000420,OFF000421,P00317
SERIES0122,INC000421,OFF000422,P00317
SERIES0123,INC000422,OFF000423,P00677
SERIES0123,INC000423,OFF000424,P00677
SERIES0123,INC000424,OFF000425,P00677
SERIES0123,INC000425,OFF000426,P00677
SERIES0123,INC000426,OFF000427,P00677
SERIES0124,INC000427,OFF000428,P00181
SERIES0124,INC000428,OFF000429,P00181
SERIES0124,INC000429,OFF000430,P00181
SERIES0124,INC000430,OFF000431,P00181
SERIES0124,INC000431,OFF000432,P00181
SERIES0125,INC000432,OFF000433,P00171
SERIES0125,INC000433,OFF000434,P00171
SERIES0125,INC000434,OFF000435,P00171
SERIES0125,INC000435,OFF000436,P00171
SERIES0125,INC000436,OFF000437,P00171
SERIES0126,INC000437,OFF000438,P00527
SERIES0126,INC000438,OFF000439,P00527
SERIES0126,INC000439,OFF000440,P00527
SERIES0126,INC000440,OFF000441,P00527
SERIES0126,INC000441,OFF000442,P00527
SERIES0127,INC000442,OFF000443,P00482
SERIES0127,INC000443,OFF000444,P00482
SERIES0127,INC000444,OFF000445,P00482
SERIES0127,INC000445,OFF000446,P00482
SERIES0127,INC000446,OFF000447,P00482
SERIES0128,INC000447,OFF000448,P00328
SERIES0128,INC000448,OFF000449,P00328
SERIES0128,INC000449,OFF000450,P00328
SERIES0128,INC000450,OFF000451,P00328
SERIES0129,INC000451,OFF000452,P00626
SERIES0129,INC000452,OFF000453,P00626
SERIES0130,INC000453,OFF000454,P00063
SERIES0130,INC000454,OFF000455,P00063
SERIES0130,INC000455,OFF000456,P00063
